iter,k,mse_est,mse_true
502,191,3732.3734941737816,3677.858351154739
503,161,3211.1019742307785,3674.0640929373603
504,171,3921.5080959852708,3619.5307896308973
505,191,3578.6705126777115,3681.9369790308087
506,91,2969.9118853757655,4125.6065162453815
507,31,2804.1375381615694,3603.1243067898663
508,81,3635.801951155715,3808.622211455978
509,191,3013.3774272949163,3796.9036841350007
510,61,3995.103101016392,3591.5143111799916
511,41,3736.685722448851,3704.67051926923
512,71,3188.4714248044843,3731.240675912546
513,61,3677.6094959523703,3651.807635782464
514,51,3785.185777024436,3561.2415787230607
515,31,2980.3319608120805,3675.165032383599
516,31,3384.841200381662,3722.432057642317
517,71,2904.5222157368094,3989.2834315147343
518,31,3421.3804123814584,3649.892729813018
519,101,3364.4404912553455,3658.323743320847
520,51,2971.6658477303595,3581.8058259204213
521,51,4064.45874874357,3961.8693115808096
522,81,3557.869876939413,3620.7836724792464
523,51,4273.206379955478,3600.3842999083963
524,11,3478.106153201063,3906.0477333807435
525,71,3097.022891609768,3629.9161773320393
526,41,3211.987708973723,3595.2125539459844
527,31,3164.71254323004,3694.2931593007397
528,61,3203.3846393202793,3641.8366982604794
529,21,3889.6471964064826,3653.4610410727937
530,61,3013.3742793558517,3594.8219899866976
531,41,3767.2611718398994,3604.0712422053834
532,51,3046.1674663784324,3666.771495693697
533,81,4003.6321362850736,3594.806350572127
534,191,2693.325051246201,3672.8234098183657
535,61,4176.768910589724,3759.970756309229
536,191,3342.735734420483,3615.3205756957
537,21,3967.72825065454,3813.3751582105942
538,91,3381.8259988101568,3766.2226131446428
539,181,3008.2688892228343,3735.729913021335
540,51,3639.6191635655728,3619.366420570072
541,141,3447.1361118983386,3684.483379081418
542,41,4160.01274373917,3715.6691089565843
543,151,3527.5097920577027,3696.762972757996
544,41,3426.75576355952,3619.747747758725
545,21,3750.81496500061,3776.165370719626
546,51,2869.33999724008,3627.9253120867074
547,71,3832.993359103039,3704.9233853381393
548,21,3401.1072656227348,3725.083815637219
549,51,3937.8367929605806,3611.0051156522277
550,71,3847.701977154057,3613.373326010409
551,21,3271.43569941982,3584.0119240184404
552,51,3383.352017815104,3582.211862247395
553,31,2784.4579468798984,3649.9963925156962
554,161,3487.791026146595,3647.8854564702415
555,81,3653.480246273524,3695.062379324913
556,51,3299.8238508783584,3682.194114825564
557,51,3288.365060152865,3644.308454694326
558,111,3625.756697355827,3711.4434171408575
559,61,3304.9549925078963,3624.6823599124414
560,81,3204.0775992380745,3578.1283541994994
561,191,3242.960751582776,3679.5948668848273
562,31,3582.442889026139,3641.158868482495
563,51,2936.7422750572828,3672.6761386229623
564,51,3497.135120699301,3650.743006740399
565,51,4531.078227255689,3567.9998729356735
566,81,3387.612398968121,3673.22605165552
567,81,3357.1478592712683,3744.115209777331
568,171,2897.5567369556866,3673.235198714248
569,71,3451.3646691240115,3625.2456436641764
570,41,3105.383503527666,3710.788199678581
571,81,3760.9365494476856,3986.5395852765273
572,91,3747.612343249721,3578.360934610908
573,191,3313.1180101067403,3845.625498078625
574,31,3211.4973518936667,3970.9986377740115
575,51,2880.1699389426176,3736.7523293563822
576,41,3522.118001423877,3742.9810541796237
577,71,4173.886181577834,3509.285621173142
578,191,3359.9828224873604,3643.6029725914755
579,71,3046.859430882435,3744.1847585929513
580,71,2828.1219003843075,3622.4795523791677
581,21,3154.795289329472,3741.662451333867
582,31,2829.669642203219,3640.964086426708
583,101,3673.7141906254506,3616.0765499785775
584,81,3307.5509267154293,3713.9408066698998
585,51,3399.470164720798,3664.2458089266142
586,71,3830.434331132877,3683.7472980660655
587,141,2719.3802108081127,3811.988648454867
588,91,4210.198556944363,3551.485362732082
589,31,3982.1988273849324,3593.2099718877803
590,191,3691.74183904859,3619.803291185634
591,81,3801.5225559552478,3620.4921051873166
592,51,3137.5445933758238,3664.4880000951666
593,41,3661.9601996771685,3599.1593241119153
594,51,3227.0530713165517,3586.0702087734844
595,101,3087.9147710549387,3645.741248779734
596,71,3149.069466891717,3674.2812525136815
597,41,3687.6443874842057,3597.206425732581
598,21,3958.3433570469697,3731.8212767240852
599,191,4178.957399748062,3628.056860146586
600,121,3217.71318101496,3694.7752611139686
601,91,3453.7938973001246,3589.5061487192106
602,41,3642.978759876454,3745.686956304684
603,21,3446.43928955701,3644.2150892084114
604,191,3060.8150818380764,3925.7682708916077
605,81,3536.518918144179,3653.005258122137
606,171,3992.331488323171,3647.1709945106445
607,61,3983.8925038423745,3590.611863468274
608,51,4002.023450050016,3643.8306459614064
609,141,3320.585886315773,3645.0416480399917
610,51,3738.5458879441253,3682.906323892654
611,141,3246.1985052018044,3671.3268127069505
612,101,3571.235148917116,3605.036021759223
613,41,3668.986057424786,3658.5619565136676
614,41,3390.9874291107994,3604.574414384548
615,51,2736.3976655395472,3791.4014164499863
616,51,2802.9521881936557,3685.196956185275
617,101,2983.4757167946555,3610.3012537275
618,51,3204.786823722436,3622.4687577744103
619,111,3487.4496687808073,3706.54063363004
620,81,3185.3470211094236,3744.9793398749166
621,151,4002.6506107019823,3621.8561986957743
622,71,2913.112803914597,4017.2606930447682
623,81,3947.6192084968256,3600.3480608651735
624,171,3198.3973477820637,3668.594660584883
625,31,2925.0291033096705,3572.0653279984986
626,41,3563.378008469106,3852.857151006658
627,61,3996.2023300890983,3654.909770075105
628,101,3663.1023961091187,3631.0607414217934
629,121,3484.948350948884,3739.0057547480897
630,51,3485.269661476059,3690.397354528166
631,51,3929.3710236867746,3556.6337068191533
632,41,4298.963112510743,3614.195000164658
633,41,3640.5796939271436,3585.842257208031
634,61,3841.99210800822,3619.599407661839
635,31,3635.6004851884854,3665.179705880126
636,51,3260.8988826916943,3731.2190818228614
637,181,3139.9334252146036,3847.2494385095033
638,161,3352.3824518506212,3834.068454719004
639,31,2955.3504064866083,3607.345520286391
640,31,3791.933772770722,3612.1342069844604
641,81,2623.284319553434,3739.692824994659
642,191,4033.8214080051716,3697.323350030333
643,131,3328.7820226887134,3659.5668118643302
644,21,3071.482889925936,3625.8046612212925
645,191,3124.4384147632377,3780.554891423429
646,101,3216.087023433287,3790.328214776466
647,21,3343.019490290691,3695.260116597883
648,101,2919.325599141245,3890.628521290139
649,21,3153.7697124553465,3694.055696127705
650,41,3529.7583069900097,3851.384427753506
651,31,3636.3915200161855,3596.2899628135788
652,51,3403.3756662704163,3580.108243531283
653,31,3796.961204012174,3683.3425544364727
654,111,3385.933769900683,3596.4721910199764
655,81,3045.61017603005,3863.6632051087417
656,81,3213.5466942919793,3664.0318787299616
657,101,4379.125724047704,3589.341528066011
658,21,2978.2846455477525,3804.625170782013
659,121,3291.481000301414,3699.925265155483
660,111,3329.244803825754,3909.9913391144455
