iter,k,mse_est,mse_true
379,141,3385.5000393878377,3348.5920382850613
380,171,3353.1362956310604,3345.395092848344
381,191,3318.8884767651975,3341.8076081877457
382,151,3291.8377790767026,3352.370128965196
383,191,3234.3408007246485,3339.9814923806193
384,191,3219.109184996865,3348.4159607082147
385,191,3297.2139233593516,3336.8940592189133
386,181,3323.629794447777,3336.3399415836634
387,191,3423.9282968861594,3331.8760846016894
388,191,3388.5576740377464,3336.341161438651
389,171,3398.7403707554854,3355.9686774383545
390,181,3297.3458607781486,3343.3296048209213
391,181,3369.956354367384,3334.119125335713
392,191,3391.8032694415156,3337.6530171274294
393,191,3417.7047997010045,3340.687225145798
394,181,3420.0853048613008,3334.9114086585064
395,111,3402.2723281765175,3352.805383183944
396,191,3488.767528552119,3329.0080622859764
397,141,3358.6241555214233,3355.3051239343104
398,151,3272.968008681961,3350.5634171493803
399,191,3308.015784775869,3350.8830072680157
400,131,3409.420394922688,3355.7982475433796
401,151,3337.4188826811896,3345.959588133114
402,191,3385.012540364575,3336.776328299901
403,141,3302.0552428413257,3350.0053613323785
404,181,3390.203769640219,3346.7662443463887
405,191,3493.3448599643516,3325.213541900302
406,191,3461.8205545333576,3338.1329394178733
407,191,3305.320220789337,3345.794742482297
408,191,3341.6581693368153,3339.986252039686
409,191,3261.053957763956,3338.615026381279
410,141,3369.6101654923355,3334.4619303223126
411,181,3428.688865327267,3344.479143966577
412,191,3212.7061493127853,3353.1338822081593
413,191,3298.2051410030776,3346.516702234846
414,181,3424.073203097937,3332.4616177356
415,171,3332.3557228957866,3341.4120617998055
416,191,3297.12512821327,3338.4695458936167
417,191,3365.578167698376,3342.600291912402
418,191,3391.4536210846077,3338.397606281114
419,191,3145.7527758299807,3354.4393119896754
420,181,3462.135071867674,3333.552326090986
421,171,3314.415532106629,3343.0662959180686
422,181,3396.362709942157,3336.88016354403
423,171,3380.2278655089253,3348.551860994654
424,151,3336.743189329072,3342.36416920034
425,191,3283.3989478424755,3341.01632197396
426,121,3261.0068199186153,3350.5991202373957
427,171,3270.9172424560156,3342.726021639467
428,191,3320.766284641529,3332.157587833307
429,121,3393.4577121786233,3349.085394250707
430,191,3268.382654627467,3348.7198249323233
431,181,3372.6140822446837,3351.141928676014
432,191,3332.7765849515336,3343.830730381474
433,171,3310.4627884036454,3338.5344340836086
434,191,3353.9284878418925,3345.6157975390543
435,161,3335.6986163918336,3350.830148130728
436,191,3302.3876766472117,3336.979692790757
437,191,3371.705409664721,3353.0929071110013
438,191,3390.078968054771,3334.511100446149
439,191,3346.7484257829497,3336.29691684509
